company,primary_domain,vertical_group,tier,wave,fit_score,contacts_target,apollo_lists,hold,gate_notes
"Guess?, Inc.",guess.com,Fashion & Footwear,Tier 1 Named,2,82,6,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
Academy Sports and Outdoors,academy.com,Omnichannel Retail,Tier 1 Named,2,78,6,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Fossil Group,fossilgroup.com,Fashion & Footwear,Tier 1 Named,2,78,6,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
GNC Holdings,gnc.com,Omnichannel Retail,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Oxford Industries,oxfordinc.com,Fashion & Footwear,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
The J.M. Smucker Company,jmsmucker.com,CPG Multi-Brand,Tier 2 Priority,2,77,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Boot Barn Holdings,bootbarn.com,Omnichannel Retail,Tier 2 Priority,2,76,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Molson Coors,molsoncoors.com,CPG Multi-Brand,Tier 2 Priority,2,76,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
RH,rh.com,Omnichannel Retail,Tier 2 Priority,2,75,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Five Below,fivebelow.com,Omnichannel Retail,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Movado Group,movadogroup.com,Fashion & Footwear,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Fashion & Footwear,False,
Post Holdings,postholdings.com,CPG Multi-Brand,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Sonos,sonos.com,Mobility & Devices,Tier 2 Priority,2,72,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices,False,
Conagra Brands,conagrabrands.com,CPG Multi-Brand,Tier 2 Priority,2,71,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Rivian Automotive,rivian.com,Mobility & Devices,Tier 2 Priority,2,71,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Mobility & Devices,False,
Reynolds Consumer Products,reynoldsconsumerproducts.com,CPG Multi-Brand,Tier 2 Priority,2,70,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
BellRing Brands,bellring.com,CPG Multi-Brand,Tier 2 Priority,2,69,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Torrid Holdings,torrid.com,Omnichannel Retail,Tier 2 Priority,2,69,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Burlington Stores,burlington.com,Omnichannel Retail,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Chewy,chewy.com,Omnichannel Retail,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Omnichannel Retail,False,
Lancaster Colony,lancastercolony.com,CPG Multi-Brand,Tier 2 Priority,2,68,5,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
Whoop,whoop.com,Consumer Health & Wellness,Tier 3 Volume,2,67,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness,False,
Flowers Foods,flowersfoods.com,CPG Multi-Brand,Tier 3 Volume,2,66,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | CPG Multi-Brand,False,
CAVA Group,cava.com,"QSR, Franchise & Hospitality",Tier 3 Volume,2,65,3,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality",False,
First Watch Restaurant Group,firstwatch.com,"QSR, Franchise & Hospitality",Tier 3 Volume,2,63,3,"T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | QSR, Franchise & Hospitality",False,
iRhythm Technologies,irhythmtech.com,Consumer Health & Wellness,Tier 3 Volume,2,59,3,T100 | Master | All Accounts; T100 | Wave 2 | Day 31-60; T100 | Vertical | Consumer Health & Wellness,False,
